case_id,statute,offense_category,penalty,imprisonment_duration_served,risk_of_escape,risk_of_influence,surety_bond_required,personal_bond_required,fines_applicable,served_half_term,bail_eligibility,risk_score,penalty_severity
1,NDPS,Crimes Against Children,Fine,50,False,False,True,False,True,False,False,0,50
2,SCST Act,Crimes Against Children,Both,117,False,False,True,True,True,False,False,0,351
3,PMLA,Crimes Against Children,Fine,68,False,False,False,False,True,False,False,0,68
4,SCST Act,Crimes Against Children,Both,106,False,False,False,False,True,True,True,1,318
5,SCST Act,Offences Against the State,Imprisonment,71,False,False,False,True,True,False,False,0,142
6,CrPC,Offences Against the State,Imprisonment,86,False,True,True,True,False,False,False,1,172
7,PMLA,Crimes Against Foreigners,Both,119,False,True,True,False,False,True,False,2,357
8,PMLA,Crimes Against SCs and STs,Imprisonment,33,False,False,False,False,False,False,False,0,66
9,PMLA,Cyber Crime,Imprisonment,81,False,True,True,True,True,False,False,1,162
10,SCST Act,Crimes Against Children,Imprisonment,24,False,True,True,False,True,False,False,1,48
11,NDPS,Crimes Against Foreigners,Imprisonment,61,False,True,False,True,True,False,False,1,122
12,PMLA,Crimes Against SCs and STs,Both,61,False,False,False,False,False,False,False,0,183
13,SCST Act,Cyber Crime,Fine,98,False,True,False,False,True,True,False,2,98
14,CrPC,Economic Offence,Fine,28,False,True,True,True,True,True,False,2,28
15,NDPS,Crimes Against Women,Imprisonment,58,False,True,True,True,False,True,False,2,116
16,CrPC,Offences Against the State,Fine,43,False,False,True,True,True,False,False,0,43
17,NDPS,Economic Offence,Fine,41,True,True,True,False,False,True,False,3,41
18,SCST Act,Cyber Crime,Imprisonment,39,False,True,True,False,False,False,False,1,78
19,IPC,Economic Offence,Imprisonment,86,True,False,False,False,True,False,False,1,172
20,NDPS,Crimes Against Women,Fine,49,False,False,True,False,False,False,False,0,49
21,CrPC,Crimes Against Foreigners,Both,17,False,True,True,True,True,True,False,2,51
